Element,h_index,g_index,m_index,TC,NP,PY_start
SIGAFUS BH,2,3,0.222,89,3,2015
SILLETT TS,2,4,0.167,100,4,2012
SLOTOW R,2,2,0.4,41,2,2019
SMITH JLD,2,2,0.4,28,2,2019
SNYMAN A,2,2,0.286,15,2,2017
SOVIE AR,2,3,0.286,30,3,2017
STEVENS BS,2,4,0.4,35,4,2019
SURYAWANSHI KR,2,2,0.667,7,2,2021
TALANCY NW,2,2,0.111,406,2,2006
TERMAAT T,2,2,0.182,284,2,2013
THAPA K,2,3,0.286,72,3,2017
THOGMARTIN WE,2,2,0.118,65,2,2007
THORNTON JE,2,2,0.2,22,2,2014
THORSON JT,2,2,0.2,99,2,2014
TOBLER MW,2,2,0.222,116,2,2015
TYRE AJ,2,2,0.095,549,2,2003
VALENTE JJ,2,2,0.4,24,2,2019
VAN DER WEYDE LK,2,3,0.333,33,3,2018
WAGNER T,2,2,0.2,16,2,2014
WANG TM,2,2,0.4,28,2,2019
WECKERLY FW,2,3,0.118,33,3,2007
WEGAN MT,2,2,0.133,174,2,2009
WEISS SK,2,2,0.2,11,2,2014
WENGER SJ,2,2,0.333,16,2,2018
WHITE AM,2,2,0.182,47,2,2013
WHITTINGTON J,2,2,0.286,81,2,2017
WILKERSON RL,2,2,0.154,60,2,2011
WOINARSKI JCZ,2,2,0.286,50,2,2017
WONG ST,2,2,0.333,6,3,2018
WRIGHT WJ,2,2,0.5,17,2,2020
YOCCOZ NG,2,2,0.182,82,2,2013
ZAMORA-LOPEZ A,2,2,0.667,7,2,2021
ZAMORA-MARIN JM,2,2,0.667,7,2,2021
ABIDIN TR,1,1,0.5,1,1,2022
ABU BAKAR MS,1,1,0.5,1,1,2022
ADAMS AAY,1,1,0.25,2,1,2020
ADAMS LG,1,1,0.111,22,1,2015
ADAMS MJ,1,2,0.2,14,2,2019
ADAMS T,1,1,0.5,3,1,2022
ADDISON L,1,1,0.111,10,1,2015
AGUZZI S,1,1,0.333,1,1,2021
AHMAD B,1,1,0.333,2,2,2021
AHMAD T,1,1,0.25,4,1,2020
AHMED MF,1,1,0.333,7,1,2021
AKKAWI P,1,1,0.25,10,1,2020
AKRE TA,1,1,0.2,2,1,2019
AKRIM F,1,1,0.25,4,1,2020
ALAKOSKI R,1,1,0.143,15,1,2017
ALANIZ AJ,1,1,0.333,2,1,2021
ALCOVERRO T,1,1,0.091,20,1,2013
ALDRIDGE CL,1,1,0.2,12,1,2019
ALEXANDER BW,1,1,0.1,10,1,2014
ALEXSANDER JS,1,1,0.333,4,1,2021
ALI H,1,1,0.1,66,1,2014
ALI MW,1,1,0.25,4,1,2020
ALLEN ML,1,1,0.5,2,2,2022
ALLENDER MC,1,1,0.167,27,1,2018
ALMBERG ES,1,1,0.25,13,1,2020
ALVES F,1,1,0.2,1,1,2019
ALVES PC,1,1,0.25,39,1,2020
AMBU L,1,1,0.111,97,1,2015
AMBURGEY SM,1,1,0.333,4,1,2021
AMELON SK,1,1,0.167,1,1,2018
AMGALANBAATAR S,1,1,0.143,7,1,2017
AMRHEIN V,1,1,0.071,13,1,2010
ANDERSEN AN,1,1,0.143,43,1,2017
ANDERSEN DE,1,1,0.059,14,1,2007
ANDERSEN EM,1,1,0.2,17,1,2019
