Id,Label,links,total_link_strength,documents,citations,degree.centr,closnesscentrality,norm.betweeness.centr,component.number,clustering,triangles,eigen.centr
1782,"patel, shivkumari",3,3,1,1,3,1,0,182,1,3,0.000015
1783,"paterson, j. terrill",4,4,1,5,4,0.148311,0,0,1,6,0.000035
1784,"patricio andrade-ponce, gabriel",6,6,1,0,6,0.10513,0,0,1,15,0.000091
1785,"patten, kirk a.",2,2,1,9,2,0.416667,0,58,1,1,0.000025
1786,"patton, philip t.",2,2,1,0,2,0.170897,0,0,1,1,0.000052
1787,"paudel, gautam",12,12,1,0,12,0.17129,0,0,1,66,0.003686
1788,"paudel, rajan prasad",6,6,1,1,6,0.607143,0,51,1,15,0.000081
1789,"paula goijman, andrea",7,7,2,35,7,0.137776,0.000302,0,0.571429,12,0.000108
1790,"pauli, benjamin p.",2,2,1,8,2,1,0,171,1,1,0.000008
1791,"pauli, jonathan n.",6,6,2,4,6,0.147322,0.001234,0,0.4,6,0.000046
1792,"paulios, andy t.",4,4,1,15,4,1,0,86,1,6,0.000025
1793,"paviolo, agustin",34,36,2,69,34,0.205942,0.002966,0,0.588235,330,0.074049
1794,"pavis, justine",8,8,1,0,8,0.568966,0,19,1,28,0.000435
1795,"pavlacky, david l.",14,17,5,96,14,0.175652,0.016806,0,0.230769,21,0.000165
1796,"pawar, udayan rao",6,6,1,3,6,0.140222,0,0,1,15,0.000078
1797,"paxton, eben h.",6,6,1,4,6,1,0,91,1,15,0.000058
1798,"payan, esteban",6,6,1,26,6,1,0,83,1,15,0.000058
1799,"pe'er, guy",5,5,1,18,5,0.140459,0,0,1,10,0.000066
1800,"peabotuwage, indika",4,4,1,5,4,0.128184,0,0,1,6,0.000053
1801,"peach, michelle a.",2,2,1,10,2,0.155761,0,0,1,1,0.000927
1802,"peacock, mary m.",11,11,1,13,11,0.761905,0,67,1,55,0.000348
1803,"pearl, christopher a.",6,10,2,14,6,0.122541,0,0,1,15,0.000112
1804,"peele, ashley m.",3,3,1,13,3,0.185248,0,0,1,3,0.000099
1805,"peery, m. zachariah",6,6,2,12,6,0.172334,0.007324,0,0.4,6,0.000075
1806,"pejchar, liba",6,6,2,41,6,0.180127,0.001234,0,0.4,6,0.002531
1807,"pellet, j",5,6,3,198,5,0.692308,0,43,1,10,0.000045
1808,"pendergast, mary e.",28,29,2,23,28,0.1621,0.000297,0,0.867725,328,0.052261
1809,"pendleton, jennifer",4,4,1,0,4,1,0,183,1,6,0.000025
1810,"penjor, ugyen",8,12,4,24,8,0.163166,0.000824,0,0.357143,10,0.000158
1811,"pennati, roberta",16,16,1,52,16,0.66,0,19,1,120,0.00198
1812,"peoples, brandon k.",1,1,1,27,1,1,0,154,0,0,0.000003
1813,"pereira trindade, jose pedro",4,4,1,9,4,1,0,142,1,6,0.000025
1814,"pereira, joao m. cordeiro",4,4,1,4,4,1,0,32,1,6,0.000025
1815,"pereira, maria joao ramos",1,1,1,0,1,1,0,125,0,0,0.000003
1816,"pereira, sandy",18,18,1,32,18,0.176927,0,0,1,153,0.013161
1817,"pereira-ribeiro, juliane",5,11,3,27,5,0.692308,0,64,1,10,0.000047
1818,"perez-hernandez, christian g.",7,7,1,2,7,1,0,9,1,21,0.000085
1819,"perillo, joseph",4,4,1,4,4,0.833333,0,192,1,6,0.000026
1820,"perotto-baldivieso, humberto l.",5,5,1,15,5,0.186371,0,0,1,10,0.000128
1821,"perry, mike",5,5,1,0,5,0.631579,0,152,1,10,0.000067
1822,"perry, roger w.",7,7,1,17,7,0.146347,0,0,1,21,0.000107
1823,"petchell balchin, george",17,17,1,0,17,1,0,38,1,136,0.001946
1824,"peterman, w. e.",11,12,4,68,11,0.142641,0.002874,0,0.236364,13,0.001683
1825,"peters, valerie e.",4,4,1,26,4,0.75,0,106,1,6,0.000029
1826,"peterson, james t.",16,17,4,47,16,0.139572,0.002872,0,0.425,51,0.001126
1827,"peterson, sean m.",8,8,1,0,8,0.104679,0,0,1,28,0.000128
1828,"petitpas, robert",8,8,1,39,8,0.163223,0,0,1,28,0.000253
1829,"petracca, l. s.",24,28,3,44,24,0.184403,0.002107,0,0.619565,171,0.013522
1830,"petroelje, tyler r.",11,13,2,7,11,0.200653,0.000706,0,0.690909,38,0.00046
1831,"petrus, azrie",20,25,2,4,20,0.149852,0.000021,0,0.742105,141,0.002725
1832,"petzold, falk",18,18,1,16,18,0.144271,0,0,1,153,0.003289
1833,"pfeifer, marion",5,5,1,55,5,0.166118,0,0,1,10,0.00017
1834,"pfeiffer, s.",8,8,1,5,8,1,0,77,1,28,0.000122
1835,"philips, annie",2,2,1,4,2,1,0,108,1,1,0.000008
1836,"phoonjampa, rungnapa",5,5,1,9,5,0.777778,0,56,1,10,0.000041
1837,"phumanee, worrapan",5,5,1,9,5,0.777778,0,56,1,10,0.000041
1838,"pias, kyle e.",6,6,1,4,6,1,0,91,1,15,0.000058
1839,"pichorim, mauro",3,3,1,6,3,1,0,138,1,3,0.000015
1840,"piedallu, blaise",5,5,1,13,5,0.121342,0,0,1,10,0.000089
1841,"pierce, daryl",4,4,1,4,4,0.833333,0,192,1,6,0.000026
1842,"pierce, naomi e.",15,15,1,1,15,0.132372,0,0,1,105,0.001268
1843,"pillay, rajeev",7,13,3,74,7,0.207849,0.000642,0,0.857143,18,0.003486
1844,"pille, fabien",8,8,1,0,8,0.568966,0,19,1,28,0.000435
1845,"pine, w. e.",6,6,1,24,6,0.177215,0,0,1,15,0.000333
1846,"pinheiro, marcell soares",7,7,1,20,7,0.161471,0,0,1,21,0.000292
1847,"piquer-rodriguez, maria",9,9,1,16,9,0.157918,0,0,1,36,0.000538
1848,"piry, sylvain",6,6,1,35,6,0.193938,0,0,1,15,0.000305
