"Element","h_index","g_index","m_index","TC","NP","PY_start"
"PFEIFER M","1","1","0.125","59","1","2017"
"PFEIFFER S","1","1","0.077","5","1","2012"
"PHILIPS A","1","1","0.100","4","1","2015"
"PHOONJAMPA R","1","1","0.200","14","1","2020"
"PHUMANEE W","1","1","0.200","14","1","2020"
"PIAS KE","1","1","0.125","4","1","2017"
"PICHORIM M","1","1","0.167","7","1","2019"
"PIERCE D","1","1","0.250","4","1","2021"
"PIERCE NE","1","1","0.333","6","1","2022"
"PILLE F","1","1","0.333","2","1","2022"
"PINE WE","1","1","0.200","28","1","2020"
"PINHEIRO MS","1","1","0.200","27","1","2020"
"PIQUER-RODRIGUEZ M","1","1","0.200","20","1","2020"
"PIRY S","1","1","0.100","40","1","2015"
"PISANU B","1","1","0.250","7","1","2021"
"PITMAN J","1","1","0.111","19","1","2016"
"PITMAN RT","1","1","0.250","9","1","2021"
"PIZZIO E","1","1","0.333","1","1","2022"
"PIÉDALLU B","1","1","0.167","13","1","2019"
"PLANILLO A","1","1","0.333","3","1","2022"
"PLATTNER M","1","1","0.083","108","1","2013"
"PLUMIER E","1","1","0.333","6","1","2022"
"POESCH MS","1","1","0.333","1","1","2022"
"POLEY LG","1","1","0.143","4","1","2018"
"POLI L","1","1","0.333","4","1","2022"
"POLLOCK KH","1","1","0.100","10","1","2015"
"PONCIANO JM","1","1","0.143","24","1","2018"
"POP MI","1","1","0.125","14","1","2017"
"POPE TL","1","1","0.333","1","1","2022"
"PORTISS R","1","1","0.143","10","1","2018"
"POSSINGHAM HP","1","1","0.045","545","1","2003"
"POST VAN DER BURG M","1","1","0.071","12","1","2011"
"POTTER DS","1","1","0.200","4","1","2020"
"POWELL GVN","1","1","0.100","121","1","2015"
"POWELL LA","1","1","0.091","12","1","2014"
"PRABHU M","1","1","0.200","4","1","2020"
"PRANGE S","1","1","0.143","15","1","2018"
"PRAVEEN J","1","1","0.333","6","1","2022"
"PREMEAUX AR","1","1","0.200","3","1","2020"
"PRESCOTT GW","1","1","0.100","52","1","2015"
"PRESCOTT T","1","1","0.167","35","1","2019"
"PRESTON DL","1","1","0.333","6","1","2022"
"PREUSS TS","1","1","0.167","2","1","2019"
"PREVEDELLO JA","1","1","0.143","26","1","2018"
"PRICE SJ","1","1","0.200","9","1","2020"
"PRINGLE CM","1","1","0.143","15","1","2018"
"PRINS MD","1","1","0.167","57","1","2019"
"PRIOL P","1","1","0.091","21","1","2014"
"PRIOTTO J","1","2","0.143","11","2","2018"
"PROMBERGER-FÜRPASS B","1","1","0.333","1","1","2022"
"PROUST N","1","1","0.333","7","1","2022"
"PROWSE TAA","1","1","0.100","3","1","2015"
"PRUGH LR","1","1","0.333","4","1","2022"
"PRUNIER F","1","1","0.167","57","1","2019"
"PRYKE JS","1","1","0.200","8","1","2020"
"PUENTE-ROLÓN AR","1","1","0.125","6","1","2017"
"PURI M","1","1","0.100","42","1","2015"
"PURWANDANA D","1","1","0.083","29","1","2013"
"PYWELL RF","1","1","0.111","300","1","2016"
"PÄRT T","1","1","0.143","15","1","2018"
"PÉREZ-HERNÁNDEZ CG","1","1","0.250","2","1","2021"
"QUALLS CP","1","1","0.125","3","1","2017"
"QUAN RC","1","1","0.200","10","1","2020"
"QUATTRINI LA","1","1","0.125","8","1","2017"
"QUENETTE PY","1","1","0.167","13","1","2019"
"QUIGLEY H","1","1","0.143","35","1","2018"
"QUIST MC","1","1","0.100","10","1","2015"
"QUIÑONES-GUERRERO A","1","1","0.167","35","1","2019"
"RABELO RM","1","1","0.167","15","1","2019"
"RADVAN M","1","1","0.333","2","1","2022"
"RAHLIN AA","1","1","0.333","1","1","2022"
"RAHMAN HA","1","1","0.250","5","1","2021"
"RAINBOLT RE","1","1","0.067","105","1","2010"
"RAMESH V","1","1","0.333","1","1","2022"
"RAMIREZ-PARADA T","1","1","0.200","7","1","2020"
"RAMIÈRE J","1","1","0.091","21","1","2014"
"RAMP D","1","1","0.333","2","1","2022"
"RAMSEIER P","1","1","0.333","2","1","2022"
"RANDALL G","1","1","0.333","2","1","2022"
"RANSOM JI","1","1","0.200","10","1","2020"
"RAPACCIUOLO G","1","1","0.125","14","1","2017"
"RAPPAPORT DI","1","1","0.200","16","1","2020"
"RATHORE D","1","1","0.250","4","1","2021"
"RAVESI MJ","1","1","0.143","33","1","2018"
"RAWSON BM","1","1","0.200","4","1","2020"
"RAY JC","1","1","0.143","4","1","2018"
"RAYAMAJHI T","1","1","0.333","2","1","2022"
"READ DS","1","1","0.167","32","1","2019"
"READING RP","1","1","0.125","7","1","2017"
"REED ET","1","1","0.333","2","1","2022"
"REED R","1","1","0.125","23","1","2017"
"REED RN","1","1","0.200","2","1","2020"
"REED SE","1","1","0.091","35","1","2014"
"REICH BJ","1","1","0.125","6","1","2017"
"REICHMAN A","1","1","0.200","3","1","2020"
"REID J","1","1","0.111","36","1","2016"
"REID SM","1","1","0.125","12","1","2017"
"REIDY JL","1","1","0.111","17","1","2016"
"REIGADA C","1","1","0.143","3","1","2018"
"REINAGA A","1","1","0.200","1","1","2020"
"REINERS TE","1","1","0.143","11","1","2018"
"REMINE K","1","1","0.250","23","1","2021"
"REN Y","1","1","0.091","17","1","2014"
"RENNER SC","1","1","0.077","5","1","2012"
"REPPUCCI J","1","1","0.067","140","1","2010"
"RESH VH","1","1","0.125","14","1","2017"
"RIBEIRO JW","1","1","0.143","25","1","2018"
"RIBEIRO MC","1","1","0.125","14","1","2017"
"RICE KG","1","1","0.077","8","1","2012"
"RICE RA","1","1","0.333","8","1","2022"
"RICH L","1","1","0.333","7","1","2022"
"RICH M","1","1","0.143","15","1","2018"
"RICHARDSON LL","1","1","0.200","24","1","2020"
